index,Barrio,BARRIOS_HECHO,lat,lon
211,"Urbanizacion torres de monterrey, Bucaramanga, Colombia",Urbanizacion TORRES DE MONTERREY,7.12551689, -73.11826324
212,"Maria auxiliadora, Bucaramanga, Colombia",MARIA AUXILIADORA,7.12551689, -73.11826324
213,"Inv. tiburones, Bucaramanga, Colombia",INV. TIBURONES,7.12551689, -73.11826324
214,"La cemento, Bucaramanga, Colombia",LA CEMENTO,7.12551689, -73.11826324
215,"Los conquistadores, Bucaramanga, Colombia",LOS CONQUISTADORES,7.12551689, -73.11826324
216,"Quintas del cacique, Bucaramanga, Colombia",QUINTAS DEL CACIQUE,7.12551689, -73.11826324
217,"Capilla parte alta, Bucaramanga, Colombia",CAPILLA PARTE ALTA,7.12551689, -73.11826324
218,"San jose, Bucaramanga, Colombia",SAN JOSÃ‰,8.20053864, -73.9050293
219,"Pedregal, Bucaramanga, Colombia",PEDREGAL,7.12551689, -73.11826324
220,"Villa ines, Bucaramanga, Colombia",VILLA INÃ‰S,5.83416891, -73.04056549
221,"San pedro claver, Bucaramanga, Colombia",SAN PEDRO CLAVER,7.12551689, -73.11826324
222,"Monserrate, Bucaramanga, Colombia",MONSERRATE,6.77222204, -73.34702301
223,"La malaÃ±a, Bucaramanga, Colombia",LA MALAÃ‘A,7.12551689, -73.11826324
224,"Chimita, Bucaramanga, Colombia",CHIMITA,7.12551689, -73.11826324
225,"Gualilo bajo, Bucaramanga, Colombia",GUALILO BAJO,7.12551689, -73.11826324
226,"Los cuadros, Bucaramanga, Colombia",LOS CUADROS,7.12551689, -73.11826324
227,"Magueyes, Bucaramanga, Colombia",MAGUEYES,7.12551689, -73.11826324
228,"Villa real del sur, Bucaramanga, Colombia",VILLA REAL DEL SUR,7.08341312, -73.13253021
229,"Los cedros, Bucaramanga, Colombia",LOS CEDROS,7.12551689, -73.11826324
230,"20 de julio, Bucaramanga, Colombia",20 DE JULIO,7.12551689, -73.11826324
231,"Hacienda san juan, Bucaramanga, Colombia",HACIENDA SAN JUAN,7.12551689, -73.11826324
232,"Villa esmeralda, Bucaramanga, Colombia",VILLA ESMERALDA,7.12551689, -73.11826324
233,"Bosconia, Bucaramanga, Colombia",BOSCONIA,7.1539731, -73.11348724
